State,Abbr.,Population est.,Total area in mi2 (km2),Population rank,Total area,miles,Area rank,education,budget
Alabama,AL,4822023,52420 (135767),23,52420,135767),1,22,16.8
Alaska,AK,731449,665384 (1723337),47,665384,1723337),1,26.6,4.3
Arizona,AZ,6553255,113990 (295233),15,113990,295233),2,25.6,14.3
Arkansas,AR,2949131,53179 (137733),32,53179,137733),3,18.9,8.4
California,CA,38041430,163695 (423968),1,163695,423968),4,29.9,109.6
Colorado,CO,5187582,104094 (269602),22,104094,269602),5,35.9,15.3
Connecticut,CT,3590347,5543 (14356),29,5543,14356),6,35.6,12.8
Delaware,DE,917092,2489 (6446),45,2489,6446),7,28.7,4.3
Florida,FL,19317568,65758 (170312),4,65758,170312),8,25.3,41
Georgia,GA,9919945,59425 (153910),8,59425,153910),9,27.5,27
Hawaii,HI,1392313,10932 (28314),40,10932,28314),10,29.6,3.3
Idaho,ID,1595728,83569 (216443),39,83569,216443),11,23.9,3.3
Illinois,IL,12875255,57914 (149997),5,57914,149997),12,30.6,39.4
Indiana,IN,6537334,36420 (94327),16,36420,94327),13,22.5,17
Iowa,IA,3078186,56273 (145746),30,56273,145746),14,25.1,10.8
Kansas,KS,2885905,82278 (213099),33,82278,213099),15,29.5,8.9
Kentucky,KY,4380415,40408 (104656),26,40408,104656),16,21,12.3
Louisiana,LA,4601893,52378 (135658),25,52378,135658),17,21.4,10.9
Maine,ME,1329192,35380 (91634),41,35380,91634),18,26.5,3.1
Maryland,MD,5884563,12406 (32131),19,12406,32131),19,35.7,18.7
Massachusetts,MA,6646144,10554 (27335),14,10554,27335),20,38.2,24.8
Michigan,MI,9883360,96714 (250488),9,96714,250488),21,24.6,28.4
Minnesota,MN,5379139,86936 (225163),21,86936,225163),22,31.5,19
Mississippi,MS,2984926,48432 (125438),31,48432,125438),23,19.6,7.2
Missouri,MO,6021988,69707 (180540),18,69707,180540),24,25.2,14.9
Montana,MT,1005141,147040 (380832),44,147040,380832),25,27.4,2.9
Nebraska,NE,1855525,77348 (200330),37,77348,200330),26,27.4,6.8
Nevada,NV,2758931,110572 (286380),35,110572,286380),27,21.8,6
New Hampshire,NH,1320718,9349 (24214),42,9349,24214),28,32,3.6
New Jersey,NJ,8864590,8723 (22592),11,8723,22592),29,34.5,34.6
New Mexico,NM,2085538,121590 (314917),36,121590,314917),30,25.3,6.1
New York,NY,19570261,54555 (141297),3,54555,141297),31,32.4,74
North Carolina,NC,9752073,53819 (139391),10,53819,139391),32,26.5,28.2
North Dakota,ND,699628,70698 (183107),48,70698,183107),33,25.8,3.2
Ohio,OH,11544225,44826 (116099),7,44826,116099),34,24.1,34.4
Oklahoma,OK,3814820,69899 (181038),28,69899,181038),35,22.7,10.5
Oregon,OR,3899353,98379 (254800),27,98379,254800),36,29.2,11.5
Pennsylvania,PA,12763536,46054 (119279),6,46054,119279),37,26.4,43.1
Rhode Island,RI,1050292,1545 (4002),43,1545,4002),38,30.5,3.5
South Carolina,SC,4723723,32020 (82931),24,32020,82931),39,24.3,15.3
South Dakota,SD,833354,77116 (199730),46,77116,199730),40,25.1,2.3
Tennessee,TN,6456243,42144 (109152),17,42144,109152),41,23,14.7
Texas,TX,26059203,268596 (695660),2,268596,695660),42,25.5,79.6
Utah,UT,2855287,84897 (219882),34,84897,219882),43,28.5,9.7
Vermont,VT,626011,9616 (24905),49,9616,24905),44,33.1,2.8
Virginia,VA,8185867,42775 (110787),12,42775,110787),45,34,27.7
Washington,WA,6897012,71298 (184661),13,71298,184661),46,31,23.7
West Virginia,WV,1855413,24230 (62755),38,24230,62755),47,17.3,6
Wisconsin,WI,5726398,65496 (169634),20,65496,169634),48,25.7,17.5
Wyoming,WY,576412,97813 (253335),50,97813,253335),49,23.8,2.8